Test Name,Text Length,Pattern Length,Matches,Comparisons,Time (ms)
test_71.txt,100,18,0,6,0,001
test_13.txt,199,21,0,9,0,003
test_17.txt,298,11,0,30,0,004
test_35.txt,397,75,0,10,0,002
test_18.txt,496,27,0,23,0,003
test_54.txt,595,57,0,16,0,006
test_63.txt,694,142,0,15,0,001
test_57.txt,793,156,0,15,0,003
test_51.txt,892,101,0,25,0,007
test_20.txt,991,226,0,16,0,003
test_47.txt,1090,153,0,31,0,009
test_21.txt,1288,75,0,35,0,004
test_80.txt,1189,277,0,24,0,001
test_45.txt,1387,142,0,26,0,004
test_85.txt,1486,107,0,35,0,001
test_76.txt,1783,31,0,73,0,002
test_65.txt,1585,337,0,26,0,002
test_97.txt,1684,364,0,28,0,002
test_44.txt,1981,106,0,48,0,012
test_77.txt,1882,328,0,33,0,001
test_4.txt,2179,167,0,41,0,011
test_99.txt,2278,112,0,51,0,002
test_40.txt,2377,133,0,45,0,102
test_19.txt,2080,459,0,41,0,011
test_61.txt,2575,56,0,76,0,004
test_84.txt,2674,201,0,43,0,003
test_69.txt,2476,410,0,37,0,003
test_33.txt,2773,162,0,34,0,006
test_81.txt,3169,153,0,75,0,004
test_6.txt,3268,191,0,64,0,004
test_37.txt,3367,168,0,63,0,096
test_72.txt,2971,581,0,58,0,004
test_96.txt,2872,708,0,37,0,001
test_8.txt,3070,525,0,52,0,003
test_3.txt,3466,450,0,52,0,006
test_79.txt,3763,154,0,67,0,002
test_67.txt,3565,475,0,74,0,006
test_11.txt,3664,381,0,54,0,007
test_1.txt,3961,330,0,67,0,025
test_86.txt,4258,64,0,119,0,007
test_78.txt,3862,583,0,63,0,002
test_14.txt,4060,387,0,65,0,008
test_48.txt,4159,639,0,93,0,010
test_27.txt,4555,271,0,90,0,023
test_60.txt,4852,177,0,94,0,006
test_92.txt,4357,1053,0,70,0,002
test_50.txt,4456,955,0,76,0,009
test_36.txt,4654,800,0,88,0,010
test_38.txt,4753,863,0,72,0,010
test_16.txt,5050,672,0,85,0,012
test_41.txt,5347,440,0,83,0,012
test_82.txt,4951,1129,0,72,0,003
test_2.txt,5149,1088,0,64,0,011
test_15.txt,5248,1046,0,97,0,017
test_62.txt,5644,672,0,117,0,006
test_29.txt,5446,882,0,90,0,012
test_91.txt,6040,311,0,98,0,005
test_95.txt,5743,624,0,101,0,003
test_73.txt,5842,537,0,112,0,006
test_5.txt,6139,313,0,140,0,048
test_83.txt,6238,403,0,112,0,006
test_26.txt,5941,861,0,111,0,013
test_12.txt,6436,387,0,125,0,015
test_87.txt,5545,1352,0,76,0,004
test_75.txt,6832,89,0,181,0,005
test_66.txt,6733,267,0,113,0,003
test_32.txt,6535,634,0,120,0,018
test_53.txt,6634,1054,0,103,0,013
test_55.txt,7228,510,0,151,0,021
test_70.txt,6337,1553,0,84,0,003
test_34.txt,7129,857,0,93,0,025
test_89.txt,7921,358,0,154,0,005
test_100.txt,7723,613,0,144,0,018
test_94.txt,6931,1526,0,91,0,003
test_43.txt,7822,697,0,139,0,016
test_22.txt,7030,1675,0,117,0,013
test_9.txt,8119,652,0,156,0,008
test_46.txt,7327,1467,0,90,0,017
test_10.txt,8020,860,0,147,0,031
test_31.txt,7624,1362,0,136,0,016
test_25.txt,7426,1648,0,95,0,011
test_98.txt,8218,955,0,131,0,008
test_68.txt,7525,1730,0,125,0,007
test_52.txt,8416,1043,0,154,0,022
test_90.txt,9109,412,0,162,0,008
test_56.txt,9505,76,0,252,0,041
test_93.txt,8515,1191,0,150,0,005
test_23.txt,8713,1037,0,151,0,016
test_42.txt,9208,675,0,204,0,029
test_88.txt,8614,1347,0,158,0,005
test_7.txt,9703,419,0,201,0,009
test_59.txt,9010,1159,0,150,0,024
test_64.txt,9802,383,0,167,0,007
test_74.txt,8317,2009,0,112,0,004
test_28.txt,8812,1597,0,156,0,018
test_24.txt,9901,779,0,162,0,018
test_39.txt,8911,1787,0,129,0,014
test_49.txt,9307,1495,0,162,0,021
test_30.txt,9406,1992,0,178,0,029
test_58.txt,9604,1866,0,162,0,025
